EIN,TAXYR,NAME,F9_03_PZ_MISSION,DESCRIPTION,Orgpurposecharitable,Orgpurposereligious,Orgpurposeeducational,Orgpurposescientific,Orgpurposeliterary,Orgpurposepublicsafety,Orgpurposeamateursports,Orgpurposecrueltyprevention,NTE,Vulnerable
320426785,2017,National Association For Advancement of Dalits Adivasis and Minorities Inc,"To provide humanitarian, financial, educational,",GRANT WAS MADE TO AN INDIAN STUDENT WHO IS PURSUING HIGHER EDUCATION IN GERMANY AND NEEDED FINANCIAL ASSISTANCE.,1,0,1,0,0,0,0,0,6,0
320471248,2017,THE BLESSED SACRAMENT ALTAR SOCIETY,1. TO FURTHER SPIRITUAL AND MATERIAL UNDERTAKING WHICH MAY BE RECOMMENDED BY OUR PASTOR. 2. TO FOSTER A CLOSER RELATIONSHIP BETWEEN THE MEMBERS OF THE PARISH AND PASTOR. 3. TO ASSUME SUCH DUTIES AS PERTAIN TO THE UPKEEP OF THE CHURCH AND CARE OF THE ALTER.,THE BLESSED SACRAMENT ALTER SOCIETY PROVIDED RESOURCES TO NUMEROS RELIGIOUS AND HUMANITARIN ACTIVITIES FOR THE 2016 TAX YEAR.,1,1,0,0,0,0,0,0,8,0
320489487,2016,The Steve Francis Foundation,The organization provides,AWARD SCHOLARSHIP FUNDS TO YOUTHS IN COLLEGE,1,0,1,0,0,0,0,0,2,0
364099066,2016,Phandemonium Inc,"To educate and promote Science Fiction as a literary genre. Not only in literary form but also other forms of media such as art, music, theatical performances and film.",Annual convention and art show promoting Science Fiction as a literary genre,1,0,1,0,1,0,0,0,1,0
364591594,2017,FRIENDS OF HATZOLAH ASHDOD DAROM,"TO PROVIDE DISASTER AID, TO HELP TERROR VICTIMS, TO BE ONE OF THE FIRST RESPONDERS IN AN EMERGENCY, AND TO HELP POOR AND NEEDY PEOPLE IN ISRAEL AND WORLDWIDE.","TO PROVIDE DISASTER AID, TO HELP TERROR VICTIMS, TO BE ONE OF THE FIRST RESPONDERS IN AN EMERGENCY, AND TO HELP POOR AND NEEDY PEOPLE IN ISRAEL AND WORLDWIDE.",1,0,0,0,0,0,0,0,6,1
364803539,2016,Bethesda Foundation Inc,"TO EDUCATE THE COMMUNITY ABOUT ORGANIC FARMING AND HEALTHY EATING BY OPERATING BETHESDA FARM, AN ORGANIC FARM WHICH TRAINS AND EMPLOYS LOCAL WORKERS TO RAISE CHICKENS, LIVESTOCK, AND ORGANICALLY GROWN CROPS. TO PROVIDE RESOURCES TO THE COMMUNITY TO DEVELOP SCHOOL COMMUNITY MICROFARMS.","In December 2015, Bethesda Foundation initiated an informal partnership with the Clay County School District in Northeast Florida to develop ""community microfarms"" at elementary schools across the county. A pilot program was initiated with the following timeline: Spring 2016 Raising awareness and making connections with interested educators in the district. Summer 2016 Developing budget and breaking ground at schools in July. ""Breaking ground"" means preparing designated plots of ground (approximately 0.5 acres per site) at four to-be-determined elementary schools.Bethesda Foundation will provide initial funding for the program that will include stipends for teacher oversight (one teacher per school) at an estimated amount of $3,000 per year per teacher. In late August and September, students will participate in the microfarms by learning standards-based curriculum in the classroom reinforced with hands-on soil preparation and planting of vegetables.The families of students and the community in general will be encouraged to participate in microfarm maintenance and in the harvesting of the fresh produce. Fall 2016 A review of the pilot program and expansion to other schools will occur after the first planting cycle.",1,0,1,0,0,0,0,0,5,0
371264951,2016,CHAMPAIGN-URBANA COALITION FOR THE HOME-,Collect perishable food and distribute it organizations that serve the homeless.,COLLECT PERISHABLE FOOD & DISTRIBUTE IT TO AGENCIES SERVING THE HOMELESS,1,0,0,0,0,0,0,0,5,0
382032136,2013,MICHIGAN ASSOCIATION FOR MEDIA IN,PROVIDING INFORMATION ON LIBRARY MEDIA PROGRAMS TO SCHOOLS,"INFORMATION SERVICE TO MEMBERS, SCHOOL BOARDS, TEACHERS, DEPARTMENT OF EDUCATION AND OTHER STATE OFFICIALS, CONCERNING ALL ASPECTS OF SCHOOL LIBRARY MEDIA PROGRAMS.",1,0,0,0,1,0,0,0,1,0
452710560,2017,New Direction For Broken Families,Family and Child counseling,HELPED 34 FAMILIES AVOID HOMEELESSNESS BY LINKING THEM WITH RESOURCES IN THE COMUNITY.,1,0,0,0,0,0,0,0,5,1
453158542,2014,THE JASON THOMPSON FOUNDATION,"PROFESSIONAL BASKETBALL PLAYER JASON THOMPSON LAUNCHED THE JASON THOMPSON FOUNDATION TO SUPPORT CHILDREN WHO WISH FOR BRIGHTER FUTURE, BUT MAY NOT HAVE THE RESOURCES OR SOCIAL SUPPORT TO DO SO. THE FOUNDATION IS WORKING TO CREATE ENVIRONMENTS THAT ENCOURAGE KIDS TO DREAM BIG AND STRIVE FOR EXCELLENCE. THE FOUNDATION PLANS TO DEMONSTRATE THIS PRACTICE TRHOUGH FUNDRAISER EVENTS AND ACTIVITIES DESIGNED TO SUPPORT ITS MISSION.",BASKETBALL CAMP FOR KIDS LED BY JASON THOMPSON.,1,0,0,0,0,0,1,0,5,1
454039543,2017,SAFARI MISSION USA INC,PROMOTING THE GOSPEL OF JESUS CHRIST,"DURING 2017, THIS MINISTRY OPERATED IN THE FORMAT OF A TRAVELING PULPIT MINISTRY IN THE USA, CONDUCTING APPROXIMATELY 20 CHURCH SERVICES AND MINISTERING TO ABOUT 6,000 PEOPLE. WE ALSO PROVIDED SUPPORT TO SAFARI MISSION KENYA WHICH OPERATES 8 BIBLE COLLEGE CAMPUSES IN KENYA AND TRAINS SOME 180 STUDENTS ANNUALLY. THIS INCLUDED FUNDS FOR BUILDINGS, OPERATING EXPENSES AND BOOKS.",1,1,0,0,0,0,0,0,8,0
454502238,2015,YOUTH ENTREPRENEURS FOUNDATION,"TO PROVIDE STUDENTS WITH BUSINESS AND ENTREPRENEURIAL EDUCATION AND EXPERIENCES TO HELP THEM PROSPER AND BECOME CONTRIBUTING MEMBERS OF SOCIETY. YEF IS THE SOLE MEMBER OF THREE SUBORDINATE CHAPTER ORGANIZATIONS, WHICH ARE DEVOTED TO SERVING THE YE MISSION. YEF SUPPORTS THESE CHAPTERS FROM OPERATIONAL AND ADMINISTRATIVE PERSPECTIVES AS WELL AS PROVIDES GRANTS DEPENDENT UPON FUNDING NEEDS.","COURSE INSTRUCTION: EFFORTS AIMED AT GAINING NECESSARY KNOWLEDGE TO FURTHER DEVELOP AND EXPAND COURSE CURRICULUM FOR YOUTH ENTREPRENEURS. PRIMARY GOALS AND ACCOMPLISHMENTS FOR THE FISCAL YEAR 2015/2016 WERE FOCUSED TOWARDS CONTENT CREATION AND BUILDING AN ONLINE PLATFORM TO USE AS THE MEDIUM OF DELIVERY TO ALL TEACHERS, STUDENTS AND ALUMNI PARTICIPANTS.",1,0,1,0,0,0,0,0,2,0
455023969,2016,Christ Is Love,Every week Radio Broadcasting in Vietnamese to promote faith of Catholics and help the needy,Radio Broadcasting every Sunday.,1,1,0,0,0,0,0,0,1,0
455186467,2017,OVERCOMERS WITH HOPE STUDIOS INC,"The Mission at Overcomers with Hope Studios Inc. focuses on offering Television Broadcast Digital Arts Media Innovative Training Program for at-risk youth, young adults, veterans, women and other economically under served residents of Alameda County and the general public.The goal is to expand the aptitude of our target audience by providing technical and soft skills in areas that they are familiar with and enjoy i.e. Television Broadcast Digital Arts Media. The unique value it creates, is that we are exposing them to ideas and possibilities to realize their hopes and dreams and ignite inspiration's they did not know existed. OWH supports STEM through its Television Broadcast Digital Arts Training program,","Founded in 2006 Overcomers with Hope Studios, Inc. trains multi-cultural, economically underserved youth ages 13 - 18 in the Digital Media Arts to realize their creative voices, overcome behavioral challenges, explore career options and contribute to their communities. The specific purpose of Overcomers With Hope is to give these low-income, at risk and disadvantage youth a second chance to live a first-class life. Participants engage in a year-round schedule of basic and advanced technology training; collaborative and individual media projects that promote a greater understanding of local and global issues; self-directed interactive learning, and field internships. The program is designed to give participants the fundamentals of goal setting, problem solving, and team collaborative. The program gives young people hands-on experience in the television broadcast digital arts media industry. The objective is not only focused on enabling the youth to secure employment, but also provide direction and hope. OWH is designed to offer new and enlightening options in addition to stopping the violence. This is accomplished through developing a weekly televised show and on-site interviews with other young people in the community. Should program participants continue in media industry or any industry sector, they are assisted throughout their application process to reach their goal through college or vocational training. We believe that when young people are given the space, support, and skills to articulate how they see themselves and the world around them, they learn to think in new ways, learn to challenge dominant view points, and learn to interact with a world larger than the confines of their neighborhoods. Most importantly, through media-making, youth move beyond being social service consumers and become conscious creators of their own personal and social agendas Life skills training is a core element of the program. Participants are schooled in written and verbal communication skills, core financial skills and positive behavioral patterns. In 2010, a nutritional program for the students was also implemented. The goal is to touch positively every aspect of their lives, with media being the exciting means to motivate and capture their attention and dedication. Program instructors/mentors introduce participants to industry standards through practical application preparing them for internships, employment opportunities; assist them in securing grants, scholarships and to imbue them with the knowledge that they can become writers, producers, directors, performers and entrepreneurs in the television or any industry and in any occupation of their desire. Students are also required to participate in community service activities. Overcomers With Hope promotes self-esteem to inspire and ignite their innate spirit to help at risk youth fulfill their hopes, dreams and ultimately become productive citizens in our community. Our intent is to transform lives and provide possibilities they never dreamed existed. OWH training consists of 2- 26-week open entry program divided into 13-week sessions. Program hours are from 5-7PM Tuesday & Thursday and 10am - 2pm on Saturday, year-round. These hours allow young adults not in school to receive training as well as accommodating high school students to come to participate during after school hours.Local television newscasters, industry professionals will assist in the training, instructing and evaluating the students along with local television professional videographers. Students will be involved in the production of a local show called ""Wake-up Oakland"" that will be live streamed. They will be part of the production team in front of and behind the camera as well as in the control room and editing process. This is a focal point of measurement as each area is monitored by a trained industry professional. Program instructors/mentors introduce participants to industry standards through practical application preparing them for internships, employment opportunities; assist them in securing grants, scholarships and to instill them with the knowledge that they can become writers, producers, directors, performers and entrepreneurs in the television or any industry and in any occupation of their desire. Students are also required to participate in community service activities. OWH has the privilege of observing young men and women evolve their sense of self, community coupled with the excitement embedded in digital media; giving way to a holistic process of cognitive and creative growth and thinking which is often missing in the lives of ,very often, exceptionally talented youth. It is the deep belief of OWH Studios that every youth should be afforded their opportunity and/or moment to shine. It is the experience of OWH Studios that the complex experience of media production often affords this moment; a wake-up moment. OWH Studios gives our students the un-surpassed power of radio, TV, movies, broadcast journalism, YouTube, Face Book, My Space and the World Wide Web. Our curriculum includes afterschool mentoring and training, exclusive news and information gathering with extended days on Saturdays. To compete in our technological world our youth must be armed with S.T.E.M (Science, Technology, Engineering Math) skills. U.S. News & World Report's that encouraging youth from underserved, low-income communities to engaged in STEM based learning helps provide a conduit for the nation's future STEM workforce. It's been noted that a digital media background is considered a STEM field and a gateway to many careers including: Aeronautics, Animation, Architecture, Auto Design, Digital Publishing, Entertainment & Amusement Parks, Film/Video, Forensics, Furniture Design, Journalism,, Law, Medical Imaging, Marketing/Advertising, Molecular Biology, Music/Recording, Real Estate, Sound Design, Stage and Set Design, Training/HR, Travel Tourism, Web Creations& Design, Nutrition, Counseling, After School Tutoring, Life Skills, Entrepreneurship OWH Studios is developing partnerships with local tech companies to provide employable positions STEM trained candidates.",1,0,1,0,0,0,0,0,1,1
460614753,2014,THE STRAY DOG SOCIETY,"TO ORGANIZE AND HOST FUNDRAISING EVENTS AND ACTIVITIES IN SUPPORT OF THE CITADEL, THE MILITARY COLLEGE OF SOUTH CAROLINA, ITS CORPS OF CADETS AND THE ACADEMIC, ATHLETIC AND MILITARY CURRICULA AND PROGRAMS OPERATED FOR THEIR BENEFIT, IN ORDER TO MAINTAIN, PROMOTE AND IMPROVE THE CITADEL EDUCATIONAL EXPERIENCE.","PROVIDE FINANCIAL SCHOLARSHIP TO FULL-TIME CITADEL CADETS-IN-NEED VIA THE STRAY DOG MEMORIAL SCHOLARSHIP FUND. THE SCHOLARSHIP FUND WILL HELP PAY TUITION, FEES AND OTHER EDUCATION EXPENSES ENABLING THE CADET-IN-NEED TO ATTEND THE CITADEL AS A FULL-TIME STUDENT.",0,0,1,0,0,0,0,0,2,0
460687975,2016,Girls Rock SB,"Girls Rock Santa Barbara empowers girls through music education, creative expression, and performance ; promoting an environment that fosters self-confidence, creativity, and teamwork.","In 2015 Girls Rock SB served 700 girls between the ages of 7-17 years old . We launched three new after school and summer programs: Photography and film making, music journalism, and Amplify sleep Away summer camp.",1,0,1,0,0,0,0,0,1,1
461700493,2015,THE BRAIN RECOVERY CREW,"TO PROVIDE SUPPORT AND RESOURCES, ENCOURAGE RECOVERY, AND IMPROVE QUALITY OF LIFE POST-BRAIN INJURY.","THE BRAIN RECOVERY CREW PHYSICAL, EMOTIONALCOGNITIVE AND SOCIAL PROGRAM REACHES OUT TO OVER 50 FAMILIES TO PROVIDE A FREE COMUNITY BASED HEALTH AND WELLNESS PROGRAM FOR THOSE RECOVERING FROM STROKE, BRAIN INJURIES AND OTHER NEUROLOGICAL ISSUES.",1,0,0,0,0,0,0,0,4,0
462894051,2017,MAXCEN HOUSING SOCIETY,"Maxcen Housing Society Inc., Florida Branch foster and promote community-wide interest and involvement in the problems associated with the underdevelopment of affordable housing, and towards that goal to sponsor and participate in public symposium, and by any other means to cooperate with, encourage and contribute to the efforts of such parties in the accomplishment of such purposes. Improved understanding of the relationship between a residential exposure and illness or injury of children or other vulnerable populations Maxcen Housing Society Inc., Florida Branch works in the areas of housing renovation and construction, microenterprise development, foreclosure prevention, home buyer education, and projects and programs that provide academic and cultural enrichment Maxcen Housing Society Inc., Florida Branch assists in the planning and development of projects, undertakings, studies and other activities that improve the housing and living conditions of lowi","Maxcen Housing Society Inc., Florida Branch borrow money and issue, sell, and pledge its notes, bonds, and other evidences of indebtedness, and to secure any of its obligations by mortgage, pledge, or deed of trust of all or any of its property, by authority and action of its board of directors",1,0,0,0,0,0,0,0,5,1
463948969,2017,TERRA BELLA PARKLAND CORPORATION,"TO ACQUIRE, ESTABLISH, OPERATE, MAINTAIN, AND CONTROL PARK FACILITIES FOR THE RECREATION AND PLEASURE OF THE TERRA BELLA, CALIFORNIA COMMUNITY AND GENERAL PUBLIC.","TO ACQUIRE, ESTABLISH, OPERATE, MAINTAIN, AND CONTROL PARK FACILITIES FOR THE RECREATION AND PLEASURE OF THE TERRA BELLA, CALIFORNIA COMMUNITY AND GENERAL PUBLIC.",1,0,0,0,0,0,0,0,7,0
463959254,2016,Kingdom Connectors,"Kingdom Connectors is a religious non-profit organization which partners with pastors in their call to share the Gospel in Yucatan, Mexico or wherever the Load leads.","Grants were given to perform charity work within Mexico to different pastors and missionaries in Mexico, only to cover charitable / missional related expenses.",1,1,0,0,0,0,0,0,8,0
464167892,2016,PREPS FASTPITCH INC,TO PROVIDE KIDS WITH A SAFE ENVIRONMENT TO ENHANCE THEIR BASEBALL SKILLS,TO PROVIDE KIDS WITH A SAFE ENVIRONMENT TO ENHANCE THEIR SOFTBALL SKILLS,0,0,0,0,0,0,1,0,5,0
464646456,2017,SHINE INTERNATIONAL INC,RESTORATION OF THE SPIRITUAL INHERITANCE OF THE EARLY CHURCH BEFORE ITS DIVISION PREPARING THE BELIEVERS TOO FACED IN TIME CHALLENGES KNITTING THE SPIRITUAL INHERITANCE OF THE EAST AND WEST FOR THE PURPOSE OF THE UNITY OF THE CHURCH THE ABIDANCE BY THE AUTHORITY OF THE WORD OF GOD THE ADHERENCE OF THE WORSHIP I HAVE ACCORDING TO THE EARLY CHURCH THE IMPORTANCE OF SATISFACTION OF THE INNER MAN BY TRANSFORMING INTO CHRIST LIKENESS THE APOSTOLIC MISSION FOR THE EXTENSION OF THE KINGDOM OF GOD THE PREPARATION OF THE CHURCH AND ITS UNITY FOR THE SECOND COMING OF CHRIST,"PRAYER MINISTRY. DISCIPLESHIP SCHOOL DISCIPLE THE NEW GENERATION EQUIPPING THE SAINTS OF GOD SPECIAL VISION, MINISTRY FOR PASTORS AND PRIESTS, & CHURCH LEADERS. SPIRITUAL PUBLICATIONS AUDIO VISUAL MATERIALS INTERNATIONAL CONFERENCES, YOUNG PEOPLE MINISTRY, & MERCY MINISTRY",1,1,0,0,0,0,0,0,8,0
464825273,2016,NEAR SOUTHEAST COMMUNITY PARTNERS INC,"TO IMPROVE THE QUALITY OF LIFE IN THE NEIGHBORHOODS OF WASHINGTON, DC. AND CREATE A VIBRANT RIVERFRONT COMMUNITY.","NSC PARTNERS JOINS WITH OTHER PRIVATE ORGANIZATIONS, LOCAL BUSINESSES, AND THE D.C. AND FEDERAL GOVERNMENT TO REDUCE POLLUTION LEVELS AND PROTECT THE ECOLOGICALLY VALUABLE ANACOSTIA WATERSHED.",0,0,0,0,0,0,0,0,7,0
464827650,2014,Love in Action Mission Inc,To help provide medical supplies and services in third world countries,Provide medical supplies and services for third world countries.,1,0,0,0,0,0,0,0,6,0
464957203,2016,CEDAR HILLS GOLF INC,PROVIDING GOLF COURSE TO THE GENERAL PUBLIC,PUBLIC GOLF COURSE,0,0,0,0,0,0,1,0,7,0
465008759,2017,E2D INC,"THE MISSION OF E2D IS TO ENSURE THAT EVERY STUDENT IN CHARLOTTE-MECKLENBURG SCHOOLS HAS ESSENTIAL, AT HOME ACCESS TO COMPUTER TECHNOLOGY AND DIGITAL LITERACY SUPPORT TO ACHIEVE ACADEMIC SUCCESS.","DIGITAL LITERACY & PROCUREMENT: WITH THE HELP OF VOLUNTEERS, WE HAVE DEVISED A CURRICULUM WHICH ENABLES US TO AID FAMILIES WITH BASIC LITERACY SKILLS NEEDED TO OPERATE THEIR NEW TECHNOLOGY. LOW COST INTERNET PROCUREMENT: E2D HAS PARTNERED WITH MI-CONNECTION TO OFFER LOW COST INTERNET TO QUALIFYING FAMILIES WITHIN MI-CONNECTION'S SERVICE AREA AT A HUGELY DISCOUNTED RATE.",1,0,1,0,0,0,0,0,2,0
465166232,2017,HARICHAND-GURUCHAND INTERNATIONAL MOTUA MISSION INC,"In keeping with the values of Motuaism, to promote social, cultural and religious understanding based upon hindu religious principles and practice.","BIRTH ANNIVERSSARY OF LORD SRI KRISHNA, HARICHAND AND GURUCHAND THAKUR RELIGIOUS LEADERS, CELEBRATION OF DURGA, KALI SWARASSWATI PUJE AND OTHER RELIGIOUS OCCASIONS.",1,1,0,0,0,0,0,0,8,0
465173428,2017,Housing & Financial Educators,Provide housing and financial education to those who are losing their homes.,Loan Modification Programs,1,0,1,0,0,0,0,0,5,1
465510049,2015,GIRLS EXPECTING MORE SUCCESS INC,IDENTIFYING AND PROVIDING MEANINGFUL EXPERIENCES AND MENTORING FOR GIRLS WHO ARE AT RISK.,"OPERATION OF AN AFTER SCHOOL PROGRAM THAT PROVIDED EDUCATIONAL SERVICES AND ACTIVIES, AND MENTORING TO 25 AT RISK GIRLS.",1,0,1,0,0,0,0,0,2,0
465628341,2016,Aspire Movement Inc,See Sch O,"Life on Life mentoring discipleship is our primary focus for reaching urban youth. This is where we match godly men and women with 4th or 5th grade students to make a commitment to walk alongside them, building a long term relationship that is mutually transforming. Our mentors typically spend an average of 5 hours a month with their student. We ask our mentors to meet at least two times a month with the student in a variety of contexts. Mentoring takes place everywhere and most times is done simply getting to know one another.",1,1,0,0,0,0,0,0,8,0
465633984,2014,CATSKILL ANIMAL RESCUE INC,"TO PROVIDE A RESCUE SHELTER FOR ANIMALS THAT HAVE BEEN ABANDONED, ABUSED, NEGLECTED OR ARE UNWANTED, AND TO PROVIDE FOR NEUTERING AND ADOPTIONS OF ANIMALS THAT HAVE BEEN PLACED IN THE RESCUE SHELTER.","TO PROVIDE A RESCUE SHELTER FOR ANIMALS THAT HAVE BEEN ABANDONED, ABUSED, NEGLECTED OR ARE UNWANTED, AND TO PROVIDE FOR NEUTERING AND ADOPTIONS OF ANIMALS THAT HAVE BEEN PLACED IN THE RESCUE SHELTER.",1,0,0,0,0,0,0,1,3,0
465673059,2016,HERMISTON ROTARY CLUB FOUNDATION,CHARITABLE ACTIVITIES,YOUTH EXCHANGE PROGRAMS PROVIDE US STUDENTS AND FOREIGN STUDENTS VISITING THE US AN OPPORTUNITY TO LEARN A DIFFERENT CULTURE AND DEVELOP AN EXPANDED VIEW OF THE WORLD AND ITS DIVERSE CITIZENS.,1,0,0,0,0,0,0,0,2,0
471040362,2015,BUT YOU DONT LOOK SICK FOUNDATION,"TO PROVIDE SCHOLARSHIPS,CAMPERSHIPS, OR GRANTS TO LUPIS PATIENTS OR THEIR CHILDREN.","TO PROVIDE FUNDS FOR SCHOLARSHIPS,CAMPERSHIPS, OR GRANTS TO LUPIS PATIENTS OR THEIR CHILDREN.",1,0,0,0,0,0,0,0,4,1
471352422,2017,CHAUTAUQUA LAKE COMMUNITY SAILING,"PROMOTE SAFE BOATING TECHNIQUES, SPORTSMANSHIP, WATER SAFETY, AND BOAT MAINTENANCE PROVIDING COACHING, TRAINING, AND INSTRUCTION","PROMOTE SAFE BOATING TECHNIQUES, SPORTSMANSHIP, WATER SAFETY, AND BOAT MAINTENANCE BY PROVIDING COACHING, TRAINING, AND INSTRUCTION IN FUNDAMENTAL SAFE SAILING SKILLS FOR YOUTH, FAMILIES, AND ADULTS TO FOSTER APPRECIATION OF LOCAL BOATING HISTORY AND RESPECT FOR THE NATURAL BEAUTY AND ECOLOGICAL VALUE FOR CHAUTAUQUA LAKE, AND TO FOSTER AND FACILITATE RECREATIONAL AND COMPETITIVE SAILING BY THE GENERAL PUBLIC ON CHAUTAUQUA LAKE, IN CHAUTAUQUA COUNTY NY",0,0,0,0,0,0,1,0,5,0
471698672,2015,New Leaf Collaborative,"The New Leaf Collaborative seeks to connect community, resources and expertise to students so that learning is linked to real-life exploration, community-based projects and career-focused pathways in order to cultivate healthy communities and individuals, intellectually curious","We offer both in-school and out-of-school programs in order to increase access to hands-on science exploration for suburban students and their communities.In-schoolStandards aligned, hands-on lessons and enrichment for teachers and their studentsOpt-in tinkering sessions for students or clubsOut-of-schoolGuided project based learning / tinkering and making sessions for students, existing programs or clubsCommunity building events materials and guidance for hands-on science projects for coworkers, friends and/or familiesScience nights activity or interactive showcase booth for all ages at community events",1,0,1,0,0,0,0,0,2,0
471733173,2015,FRIENDS OF BASHA,"To provide opportunities, support and services for women and children escaping exploitation in Bangladesh including but not limited to counselling, education, nutrition, job training, and employment support.",16 PARTICIPANTS IN NEW TRAINING PROGRAM PREPARING WOMEN AT RISK OR SURVIVORS OF TRAFFICKING FOR DIGNIFIED WORK. 78 CHILDREN IN DAYCARE WITH NUTRITIOUS FOOD. 400 HOURS OF COUNSELLING SERVICES. MEDICAL NEEDS INCLUDING HEART SURGERY. 100 BLANKETS AND HATS GIVEN TO THE HOMELESS. 365 DAYS IN BOARDING SCHOOL WHILE HIS MOM LEARNS TO DEAL WITH HER MENTAL ILLNESS.,1,0,0,0,0,0,0,1,6,1
471853847,2017,TRUE JOY COMMUNITY PROGRAMS INC,"The mission of TRUE JOY COMMUNITY PROGRAMS, INC. is to enhance, promote, and incoroporate community partnership throughout neighboring communities in an an effort to decrease hunger, obesity, and socio-economic deprivities among children. We provide meals for children at in-chome child care facilities. This will provide a well-balanced breakfast, lunch, and snack.","CACFP-provides reimbursement for meals and snacks served to small groups of children receiving nonresidential day care in private homes that are licensed, registered, or approved to provide family child care.",1,0,0,0,0,0,0,0,5,1
