"","feature","frequency","rank","docfreq","group"
"89","low_cost",8,89,8,"all"
"90","provide_charitable",8,90,8,"all"
"91","corresponding_section",8,91,8,"all"
"92","basic_needs",8,92,8,"all"
"93","purposes_including",8,93,8,"all"
"94","non-profit_corporation",8,94,8,"all"
"95","charitable_religious",8,95,8,"all"
"96","promote_youth",8,96,8,"all"
"97","non_profit",8,97,8,"all"
"98","provide_resources",8,98,8,"all"
"99","educational_activities",8,99,8,"all"
"100","scientific_purposes",8,100,8,"all"
"101","charitable_scientific",8,101,8,"all"
"102","performing_arts",8,102,5,"all"
"103","education_programs",8,103,8,"all"
"104","also_provides",8,104,8,"all"
"105","science_technology",8,105,8,"all"
"106","youth_sports",8,106,8,"all"
"107","job_training",8,107,8,"all"
"108","charitable_educational",8,108,8,"all"
"109","cancer_research",8,109,4,"all"
"110","youth_soccer",7,110,6,"all"
"111","volunteer_fire",7,111,7,"all"
"112","fire_department",7,112,7,"all"
"113","provide_affordable",7,113,7,"all"
"114","professional_development",7,114,7,"all"
"115","safe_haven",7,115,7,"all"
"116","safe_environment",7,116,7,"all"
"117","risk_youth",7,117,7,"all"
"118","provide_access",7,118,7,"all"
"119","federal_tax",7,119,7,"all"
"120","tax_code",7,120,7,"all"
"121","education_services",7,121,7,"all"
"122","scientific_research",7,122,7,"all"
"123","providing_educational",7,123,6,"all"
"124","whose_mission",7,124,7,"all"
"125","promote_healthy",7,125,7,"all"
"126","child_care",7,126,7,"all"
"127","community_support",7,127,7,"all"
"128","young_men",7,128,6,"all"
"129","purposes_within",7,129,7,"all"
"130","community_involvement",7,130,7,"all"
"131","exempt_purpose",7,131,7,"all"
"132","public_education",7,132,7,"all"
"133","general_welfare",7,133,7,"all"
"134","fundraising_events",7,134,7,"all"
"135","farm_animals",7,135,5,"all"
"136","college_students",7,136,7,"all"
"137","family_members",7,137,7,"all"
"138","technology_engineering",7,138,7,"all"
"139","maxcen_housing",7,139,3,"all"
"140","housing_society",7,140,3,"all"
"141","society_inc",7,141,3,"all"
"142","personal_growth",7,142,7,"all"
"143","religious_charitable",7,143,7,"all"
"144","female_athletes",7,144,5,"all"
"145","school_district",7,145,7,"all"
"146","winston-salem_police",7,146,2,"all"
"147","police_department",7,147,5,"all"
"148","full_potential",7,148,7,"all"
"149","counseling_services",7,149,4,"all"
"150","economically_disadvantaged",6,150,6,"all"
"151","real_estate",6,151,5,"all"
"152","elementary_school",6,152,6,"all"
"153","sports_competition",6,153,6,"all"
"154","3_organization",6,154,6,"all"
"155","emergency_medical",6,155,4,"all"
"156","charitable_purpose",6,156,6,"all"
"157","service_members",6,157,6,"all"
"158","cancer_patients",6,158,6,"all"
"159","social_services",6,159,6,"all"
"160","future_federal",6,160,6,"all"
"161","school_children",6,161,6,"all"
"162","profit_organization",6,162,6,"all"
"163","medical_assistance",6,163,5,"all"
"164","african_american",6,164,6,"all"
"165","women_veterans",6,165,1,"all"
"166","provide_community",6,166,6,"all"
"167","long_term",6,167,6,"all"
"168","school_activities",6,168,6,"all"
"169","will_help",6,169,6,"all"
"170","arts_education",6,170,6,"all"
"171","forever_homes",6,171,6,"all"
"172","help_families",6,172,6,"all"
"173","highest_standards",6,173,3,"all"
"174","primary_goal",6,174,6,"all"
"175","support_programs",6,175,6,"all"
"176","public_school",6,176,6,"all"
"177","religious_educational",6,177,6,"all"
"178","early_childhood",6,178,6,"all"
"179","spiritual_growth",6,179,6,"all"
"180","athletes_coaches",6,180,6,"all"
"181","community_education",6,181,6,"all"
"182","faith_based",6,182,6,"all"
"183","human_trafficking",6,183,6,"all"
"184","senior_citizens",6,184,6,"all"
"185","education_advocacy",6,185,5,"all"
"186","operated_exclusively",6,186,6,"all"
"187","leadership_development",6,187,6,"all"
"188","higher_education",6,188,4,"all"
"189","educate_society",6,189,5,"all"
"190","kill_shelters",6,190,6,"all"
"191","three_village",6,191,3,"all"
"192","provide_services",6,192,6,"all"
"193","living_organ",6,193,2,"all"
"194","charitable_contributions",5,194,5,"all"
"195","community_engagement",5,195,4,"all"
"196","natural_disasters",5,196,5,"all"
"197","foreign_countries",5,197,5,"all"
"198","food_distribution",5,198,5,"all"
"199","clinical_research",5,199,4,"all"
"200","social_justice",5,200,4,"all"
"201","school_community",5,201,5,"all"
"202","north_carolina",5,202,5,"all"
"203","metropolitan_area",5,203,5,"all"
"204","first_responders",5,204,5,"all"
"205","public_benefit",5,205,5,"all"
"206","youth_lacrosse",5,206,5,"all"
"207","families_affected",5,207,5,"all"
"208","legal_services",5,208,5,"all"
"209","nonprofit_organizations",5,209,5,"all"
"210","raising_awareness",5,210,5,"all"
"211","physical_fitness",5,211,5,"all"
"212","community_based",5,212,5,"all"
"213","community_awareness",5,213,5,"all"
"214","positive_change",5,214,5,"all"
"215","provide_medical",5,215,5,"all"
"216","religious_activities",5,216,5,"all"
"217","childhood_cancer",5,217,4,"all"
"218","public_health",5,218,5,"all"
"219","competitive_softball",5,219,3,"all"
"220","promote_sportsmanship",5,220,5,"all"
"221","prison_inmates",5,221,3,"all"
"222","support_children",5,222,5,"all"
"223","surrounding_area",5,223,5,"all"
"224","local_youth",5,224,5,"all"
"225","natural_resources",5,225,5,"all"
"226","at-risk_youth",5,226,5,"all"
"227","provide_quality",5,227,5,"all"
"228","educational_experience",5,228,5,"all"
"229","care_packages",5,229,5,"all"
"230","administer_funds",5,230,5,"all"
"231","rescue_animals",5,231,5,"all"
"232","north_texas",5,232,2,"all"
"233","young_children",5,233,5,"all"
"234","youth_baseball",5,234,5,"all"
"235","education_research",5,235,5,"all"
"236","support_local",5,236,5,"all"
"237","loved_ones",5,237,4,"all"
"238","organization_supports",5,238,5,"all"
"239","service_dogs",5,239,5,"all"
"240","charitable_activities",5,240,5,"all"
"241","police_foundation",5,241,4,"all"
"242","active_duty",5,242,4,"all"
"243","providing_food",5,243,5,"all"
"244","primary_mission",5,244,5,"all"
"245","ages_6-18",5,245,4,"all"
"246","dog_rescue",5,246,5,"all"
"247","high_kill",5,247,5,"all"
"248","provide_free",5,248,5,"all"
"249","food_clothing",5,249,5,"all"
"250","foster_national",5,250,5,"all"
"251","writing_skills",5,251,3,"all"
"252","low-income_families",5,252,3,"all"
"253","disadvantaged_individuals",4,253,4,"all"
"254","income_individuals",4,254,3,"all"
"255","soccer_club",4,255,3,"all"
"256","healthy_life",4,256,4,"all"
"257","food_pantry",4,257,4,"all"
"258","3_nonprofit",4,258,4,"all"
"259","health_promotion",4,259,3,"all"
"260","local_church",4,260,4,"all"
"261","best_practices",4,261,4,"all"
"262","animal_suffering",4,262,4,"all"
"263","increase_public",4,263,4,"all"
"264","medical_supplies",4,264,4,"all"
"265","abuse_neglect",4,265,4,"all"
"266","abandoned_abused",4,266,4,"all"
"267","affordable_rental",4,267,4,"all"
"268","rescue_dogs",4,268,4,"all"
"269","developmental_disabilities",4,269,4,"all"
"270","assist_youth",4,270,4,"all"
"271","humanitarian_aid",4,271,4,"all"
"272","offer_educational",4,272,4,"all"
"273","assist_people",4,273,3,"all"
"274","support_education",4,274,4,"all"
"275","mission_duty",4,275,3,"all"
"276","mind_body",4,276,4,"all"
"277","positive_impact",4,277,4,"all"
"278","summer_food",4,278,4,"all"
"279","food_service",4,279,4,"all"
"280","knowledge_skills",4,280,4,"all"
"281","bring_together",4,281,4,"all"
"282","skills_training",4,282,4,"all"
"283","ultimate_goal",4,283,4,"all"
"284","nbsp_help",4,284,2,"all"
"285","help_nbsp",4,285,2,"all"
"286","hannah_project",4,286,3,"all"
"287","will_work",4,287,4,"all"
"288","equal_access",4,288,4,"all"
"289","better_place",4,289,4,"all"
"290","local_school",4,290,4,"all"
"291","promote_encourage",4,291,4,"all"
"292","justice_system",4,292,3,"all"
"293","provide_aid",4,293,4,"all"
"294","public_interest",4,294,4,"all"
"295","year_round",4,295,4,"all"
"296","specific_purposes",4,296,3,"all"
"297","charitable_giving",4,297,4,"all"
"298","create_awareness",4,298,4,"all"
"299","future_success",4,299,4,"all"
"300","san_francisco",4,300,4,"all"
"301","provides_financial",4,301,4,"all"
"302","people_everywhere",4,302,3,"all"
"303","food_medical",4,303,4,"all"
"304","healthy_lifestyle",4,304,4,"all"
"305","provide_youth",4,305,4,"all"
"306","see_attached",4,306,4,"all"
"307","provide_religious",4,307,4,"all"
"308","physical_social",4,308,4,"all"
"309","supportive_services",4,309,3,"all"
"310","breast_cancer",4,310,3,"all"
"311","county_community",4,311,4,"all"
"312","every_day",4,312,4,"all"
"313","summer_camp",4,313,4,"all"
"314","softball_program",4,314,4,"all"
"315","healthy_relationships",4,315,4,"all"
"316","help_individuals",4,316,4,"all"
"317","corporation_shall",4,317,4,"all"
"318","social_support",4,318,4,"all"
"319","nonprofit_corporation",4,319,4,"all"
"320","leadership_training",4,320,4,"all"
"321","primary_exempt",4,321,4,"all"
"322","provide_local",4,322,4,"all"
"323","provide_solutions",4,323,4,"all"
"324","healthy_environment",4,324,4,"all"
"325","outreach_programs",4,325,4,"all"
"326","provide_training",4,326,4,"all"
"327","spiritual_life",4,327,4,"all"
"328","educational_resources",4,328,4,"all"
"329","provide_public",4,329,4,"all"
"330","emergency_situations",4,330,4,"all"
"331","non-profit_organizations",4,331,4,"all"
"332","spay_neuter",4,332,3,"all"
"333","rescue_rehabilitate",4,333,4,"all"
"334","washington_dc",4,334,4,"all"
"335","surrounding_communities",4,335,4,"all"
"336","based_education",4,336,4,"all"
"337","educational_institutions",4,337,4,"all"
"338","transforming_lives",4,338,4,"all"
"339","scientific_literary",4,339,4,"all"
"340","catholic_church",4,340,4,"all"
"341","special_events",4,341,4,"all"
"342","help_children",4,342,4,"all"
"343","cultural_activities",4,343,4,"all"
"344","santa_clarita",4,344,2,"all"
"345","clarita_valley",4,345,2,"all"
"346","promote_leadership",4,346,4,"all"
"347","improve_health",4,347,4,"all"
"348","animals_primarily",4,348,4,"all"
"349","primarily_horses",4,349,4,"all"
"350","care_food",4,350,4,"all"
"351","orphaned_children",4,351,4,"all"
"352","younger_generation",4,352,4,"all"
"353","wellness_programs",4,353,4,"all"
"354","home_buyer",4,354,4,"all"
"355","buyer_education",4,355,4,"all"
"356","around_us",4,356,4,"all"
"357","food_system",4,357,4,"all"
"358","school_supplies",4,358,4,"all"
"359","project_change",4,359,2,"all"
"360","change_inc",4,360,2,"all"
"361","st_michael",4,361,3,"all"
"362","military_veterans",4,362,4,"all"
"363","offers_free",4,363,4,"all"
"364","spread_gospel",4,364,4,"all"
"365","health_services",4,365,4,"all"
"366","los_angeles",4,366,4,"all"
"367","animal_welfare",4,367,4,"all"
"368","youth_leadership",4,368,4,"all"
"369","american_history",4,369,4,"all"
"370","local_residents",4,370,3,"all"
"371","financial_education",4,371,4,"all"
"372","organization_whose",4,372,4,"all"
"373","public_safety",4,373,4,"all"
"374","new_jersey",4,374,4,"all"
"375","behavioral_health",4,375,4,"all"
"376","inner_city",4,376,4,"all"
"377","activities_related",4,377,4,"all"
"378","spiritual_physical",4,378,4,"all"
"379","child_abuse",4,379,4,"all"
"380","create_affordable",4,380,4,"all"
"381","foster_homes",4,381,4,"all"
"382","mto_puerto",4,382,1,"all"
"383","rico_branch",4,383,1,"all"
"384","mathematics_physics",4,384,2,"all"
"385","physics_chemistries",4,385,2,"all"
"386","technology_section",4,386,2,"all"
"387","foster_promote",4,387,3,"all"
"388","work_ethic",4,388,4,"all"
"389","juvenile_justice",4,389,3,"all"
"390","mathematics_stem",4,390,4,"all"
"391","various_levels",4,391,4,"all"
"392","provide_relief",4,392,4,"all"
"393","assist_families",4,393,4,"all"
"394","developing_countries",4,394,4,"all"
"395","fairfield_police",4,395,1,"all"
"396","organ_donors",4,396,2,"all"
"397","childhood_brain",4,397,2,"all"
"398","fair_play",4,398,4,"all"
"399","work_environment",4,399,3,"all"
"400","native_american",4,400,2,"all"
"401","western_pleasure",4,401,1,"all"
"402","housing_assistance",4,402,4,"all"
"403","stanislaus_coe",4,403,1,"all"
"404","quarter_horse",4,404,1,"all"
"405","random_acts",4,405,2,"all"
"406","mountain_view",4,406,2,"all"
"407","community_deterioration",3,407,3,"all"
"408","center_provides",3,408,3,"all"
"409","good_health",3,409,3,"all"
"410","mental_illness",3,410,3,"all"
"411","shooting_sports",3,411,2,"all"
"412","religious_education",3,412,3,"all"
"413","development_programs",3,413,3,"all"
"414","promote_education",3,414,3,"all"
"415","recreational_soccer",3,415,3,"all"
"416","501c_3",3,416,3,"all"
"417","life_choices",3,417,3,"all"
"418","york_city",3,418,3,"all"
"419","provide_exclusively",3,419,3,"all"
"420","social_change",3,420,3,"all"
"421","provide_emergency",3,421,2,"all"
"422","thrift_store",3,422,3,"all"
"423","household_items",3,423,3,"all"
"424","moderate_income",3,424,2,"all"
"425","middle_school",3,425,3,"all"
"426","fundraising_activities",3,426,3,"all"
"427","arts_culture",3,427,3,"all"
"428","provide_scholarship",3,428,3,"all"
"429","fund_inc",3,429,3,"all"
"430","inc_provides",3,430,3,"all"
"431","education_social",3,431,3,"all"
"432","rehabilitate_animals",3,432,3,"all"
"433","rescued_animals",3,433,3,"all"
"434","educational_events",3,434,3,"all"
"435","organizations_purpose",3,435,3,"all"
"436","30_years",3,436,3,"all"
"437","senior_dogs",3,437,2,"all"
"438","new_mexico",3,438,3,"all"
"439","type_1",3,439,2,"all"
"440","1_diabetes",3,440,2,"all"
"441","diabetes_research",3,441,1,"all"
"442","youth_organizations",3,442,3,"all"
"443","empower_youth",3,443,3,"all"
"444","educational_organization",3,444,3,"all"
"445","educational_needs",3,445,3,"all"
"446","need_whether",3,446,3,"all"
"447","athletic_competition",3,447,3,"all"
"448","spiritual_guidance",3,448,3,"all"
"449","provide_low",3,449,3,"all"
"450","native_americans",3,450,3,"all"
"451","public_charity",3,451,3,"all"
"452","independent_living",3,452,3,"all"
"453","cultural_heritage",3,453,3,"all"
"454","empower_people",3,454,3,"all"
"455","arts_foundation",3,455,3,"all"
"456","adolescent_community",3,456,2,"all"
"457","charter_school",3,457,2,"all"
"458","help_develop",3,458,3,"all"
"459","help_build",3,459,3,"all"
"460","nonprofit_public",3,460,3,"all"
"461","service_program",3,461,3,"all"
"462","benefit_corporation",3,462,3,"all"
"463","income_youth",3,463,3,"all"
"464","nutritious_food",3,464,3,"all"
"465","healthy_eating",3,465,3,"all"
"466","better_life",3,466,3,"all"
"467","foundation_strengthens",3,467,3,"all"
"468","every_individual",3,468,3,"all"
"469","safe_place",3,469,3,"all"
"470","civic_activities",3,470,3,"all"
"471","healthcare_services",3,471,3,"all"
"472","vulnerable_communities",3,472,3,"all"
"473","spiritual_needs",3,473,3,"all"
"474","charitable_donations",3,474,3,"all"
"475","make_donations",3,475,3,"all"
"476","physical_mental",3,476,3,"all"
"477","provide_meals",3,477,3,"all"
"478","summer_programs",3,478,3,"all"
"479","community_including",3,479,3,"all"
"480","nbsp_needs",3,480,3,"all"
"481","needs_nbsp",3,481,3,"all"
"482","nbsp_need",3,482,2,"all"
"483","need_nbsp",3,483,2,"all"
"484","pacific_islanders",3,484,3,"all"
"485","baseball_program",3,485,3,"all"
"486","seek_financial",3,486,3,"all"
"487","overall_quality",3,487,3,"all"
"488","pueblo_central",3,488,3,"all"
"489","central_high",3,489,3,"all"
"490","extracurricular_programs",3,490,3,"all"
"491","develop_promote",3,491,3,"all"
"492","soccer_training",3,492,3,"all"
"493","medical_first",3,493,1,"all"
"494","armed_forces",3,494,3,"all"
"495","educational_medical",3,495,3,"all"
"496","medical_professionals",3,496,3,"all"
"497","educational_social",3,497,3,"all"
"498","corporation_will",3,498,3,"all"
"499","will_also",3,499,3,"all"
"500","promote_science",3,500,3,"all"
"501","provide_soccer",3,501,3,"all"
"502","needy_people",3,502,3,"all"
"503","underserved_youth",3,503,3,"all"
"504","social_impact",3,504,3,"all"
"505","quality_educational",3,505,3,"all"
"506","will_enhance",3,506,3,"all"
"507","champaign_county",3,507,2,"all"
"508","visitors_bureau",3,508,3,"all"
"509","basic_necessities",3,509,3,"all"
"510","attached_copy",3,510,3,"all"
"511","help_provide",3,511,3,"all"
"512","provide_supportive",3,512,3,"all"
"513","culinary_arts",3,513,3,"all"
"514","jewish_faith",3,514,3,"all"
"515","orthodox_religious",3,515,2,"all"
"516","athletic_program",3,516,3,"all"
"517","supports_local",3,517,3,"all"
"518","communities_around",3,518,3,"all"
"519","community_services",3,519,3,"all"
"520","provide_grants",3,520,3,"all"
"521","care_transportation",3,521,3,"all"
"522","gulf_coast",3,522,3,"all"
"523","north_america",3,523,2,"all"
"524","music_education",3,524,3,"all"
"525","organization's_purpose",3,525,3,"all"
"526","sportsmanship_social",3,526,3,"all"
"527","social_behavior",3,527,3,"all"
"528","meet_required",3,528,3,"all"
"529","required_qualifications",3,529,3,"all"
"530","age_specifications",3,530,3,"all"
"531","10u_12u",3,531,3,"all"
"532","12u_14u",3,532,3,"all"
"533","14u_16u",3,533,3,"all"
"534","18u_teams",3,534,3,"all"
"535","families_opponents",3,535,3,"all"
"536","may_come",3,536,3,"all"
"537","mt_pleasant",3,537,3,"all"
"538","pleasant_drillers",3,538,3,"all"
"539","cultural_enrichment",3,539,3,"all"
"540","local_businesses",3,540,3,"all"
"541","artistic_expression",3,541,3,"all"
"542","sportsmanship_among",3,542,3,"all"
"543","local_artists",3,543,3,"all"
"544","veterinary_care",3,544,3,"all"
"545","provide_safe",3,545,3,"all"
"546","impact_100",3,546,1,"all"
"547","non-profit_corporations",3,547,3,"all"
"548","youth_education",3,548,3,"all"
"549","21st_century",3,549,3,"all"
"550","lawful_acts",3,550,3,"all"
"551","save_lives",3,551,3,"all"
"552","training_program",3,552,2,"all"
"553","food_bank",3,553,3,"all"
"554","coaching_training",3,554,3,"all"
"555","social_development",3,555,3,"all"
"556","theater_arts",3,556,2,"all"
"557","higher_level",3,557,3,"all"
"558","sexual_exploitation",3,558,3,"all"
"559","mutual_understanding",3,559,3,"all"
"560","social_cultural",3,560,3,"all"
"561","charitable_causes",3,561,3,"all"
"562","provide_health",3,562,3,"all"
"563","health_education",3,563,3,"all"
"564","television_broadcast",3,564,1,"all"
"565","broadcast_digital",3,565,1,"all"
"566","digital_arts",3,566,1,"all"
"567","veterans_women",3,567,3,"all"
"568","autism_spectrum",3,568,3,"all"
"569","promote_amateur",3,569,3,"all"
"570","age_groups",3,570,3,"all"
"571","south_carolina",3,571,3,"all"
"572","provide_counseling",3,572,3,"all"
"573","public_policy",3,573,3,"all"
"574","ministries_exists",3,574,3,"all"
"575","student_athletes",3,575,3,"all"
"576","disabled_veterans",3,576,3,"all"
"577","activities_include",3,577,3,"all"
"578","promote_charitable",3,578,3,"all"
"579","independent_nonpartisan",3,579,3,"all"
"580","physical_disabilities",3,580,3,"all"
"581","rural_communities",3,581,3,"all"
"582","resources_needed",3,582,3,"all"
"583","education_support",3,583,3,"all"
"584","anti-cancer_research",3,584,3,"all"
"585","unwanted_animals",3,585,3,"all"
"586","bring_awareness",3,586,3,"all"
"587","productive_life",3,587,3,"all"
"588","great_commission",3,588,3,"all"
"589","animal_shelters",3,589,3,"all"
"590","providing_resources",3,590,3,"all"
"591","build_character",3,591,3,"all"
"592","young_athletes",3,592,2,"all"
"593","cultural_events",3,593,3,"all"
"594","provide_children",3,594,3,"all"
"595","please_see",3,595,3,"all"
"596","little_hearts",3,596,1,"all"
"597","group_home",3,597,3,"all"
"598","disabled_individuals",3,598,3,"all"
"599","educate_members",3,599,3,"all"
"600","health_support",3,600,3,"all"
"601","greater_birmingham",3,601,3,"all"
"602","cultural_arts",3,602,2,"all"
"603","arts_programs",3,603,2,"all"
"604","scholarship_fund",3,604,3,"all"
"605","help_people",3,605,3,"all"
"606","will_rescue",3,606,3,"all"
"607","third_world",3,607,3,"all"
"608","world_countries",3,608,3,"all"
"609","cultural_exchange",3,609,3,"all"
"610","music_dance",3,610,3,"all"
"611","greater_ontario",3,611,1,"all"
"612","inc_florida",3,612,1,"all"
"613","florida_branch",3,613,1,"all"
"614","organization_committed",3,614,3,"all"
"615","sports_training",3,615,3,"all"
"616","community_needs",3,616,3,"all"
"617","community_at-large",3,617,2,"all"
"618","community_medical",3,618,1,"all"
"619","medical_center",3,619,1,"all"
"620","actively_participate",3,620,3,"all"
"621","will_develop",3,621,3,"all"
"622","program_will",3,622,2,"all"
"623","south_summit",3,623,2,"all"
"624","gun_violence",3,624,2,"all"
"625","providing_support",3,625,3,"all"
"626","rehabilitation_centers",3,626,3,"all"
"627","clothing_food",3,627,3,"all"
"628","children_can",3,628,3,"all"
"629","local_families",3,629,3,"all"
"630","athletes_ages",3,630,3,"all"
"631","provide_funds",3,631,3,"all"
"632","san_diego",3,632,3,"all"
"633","teach_christianity",3,633,3,"all"
"634","christianity_spread",3,634,3,"all"
"635","help_fight",3,635,2,"all"
"636","surrounding_community",3,636,3,"all"
"637","healthy_food",3,637,3,"all"
"638","people_together",3,638,3,"all"
"639","land_management",3,639,3,"all"
"640","people_living",3,640,3,"all"
"641","not-for-profit_organization",3,641,3,"all"
"642","foundation's_mission",3,642,3,"all"
"643","financial_resources",3,643,3,"all"
"644","educational_materials",3,644,3,"all"
"645","christian_ministry",3,645,3,"all"
"646","financially_assist",3,646,3,"all"
"647","small_business",3,647,3,"all"
"648","providing_medical",3,648,3,"all"
"649","provide_christian",3,649,3,"all"
"650","including_providing",3,650,3,"all"
"651","education_mentorship",3,651,3,"all"
"652","provides_support",3,652,3,"all"
"653","public_charities",3,653,3,"all"
"654","small_businesses",3,654,3,"all"
"655","also_wants",3,655,3,"all"
"656","one_project",3,656,3,"all"
"657","health_counseling",3,657,3,"all"
"658","fund_raising",3,658,3,"all"
"659","professional_women",3,659,3,"all"
"660","provide_instruction",3,660,3,"all"
"661","youth_ages",3,661,3,"all"
"662","endangered_species",3,662,2,"all"
"663","renewable_energy",3,663,2,"all"
"664","community_issues",3,664,2,"all"
"665","issues_related",3,665,2,"all"
"666","social_assistance",3,666,3,"all"
"667","mission_teams",3,667,3,"all"
"668","environmental_issues",3,668,3,"all"
"669","promote_awareness",3,669,3,"all"
"670","education_collaboration",3,670,3,"all"
"671","cost_effective",3,671,3,"all"
"672","city_children",3,672,3,"all"
"673","dance_classes",3,673,3,"all"
"674","help_needy",3,674,3,"all"
"675","social_events",3,675,3,"all"
"676","shelter_animals",3,676,3,"all"
"677","oak_grove",3,677,1,"all"
"678","will_include",3,678,3,"all"
"679","tender_hearts",3,679,1,"all"
"680","community_projects",3,680,3,"all"
"681","medically_fragile",3,681,1,"all"
"682","fragile_children",3,682,1,"all"
"683","better_quality",3,683,3,"all"
"684","3_organizations",3,684,3,"all"
"685","provides_youth",3,685,3,"all"
"686","food_program",3,686,3,"all"
"687","las_vegas",3,687,3,"all"
"688","providing_opportunities",3,688,3,"all"
"689","titletown_select",3,689,1,"all"
"690","water_safety",3,690,3,"all"
"691","veterans_suffering",3,691,3,"all"
"692","ethiopian_orthodox",3,692,1,"all"
"693","support_youth",3,693,3,"all"
"694","highest_levels",3,694,3,"all"
"695","free_online",3,695,3,"all"
"696","formal_tutoring",3,696,3,"all"
"697","housing_development",3,697,3,"all"
"698","homeownership_opportunities",3,698,3,"all"
"699","provide_programming",3,699,3,"all"
"700","support_system",3,700,3,"all"
"701","programming_related",3,701,3,"all"
"702","youth_adult",3,702,3,"all"
"703","adult_financial",3,703,3,"all"
"704","disabilities_home",3,704,3,"all"
"705","physically_challenged",3,705,3,"all"
"706","christian_schools",3,706,3,"all"
"707","business_owners",3,707,3,"all"
"708","provide_help",3,708,3,"all"
"709","students_faculty",3,709,3,"all"
"710","homeless_individuals",3,710,2,"all"
"711","babe_ruth",3,711,2,"all"
"712","eastern_montana",3,712,1,"all"
"713","montana_veterans",3,713,1,"all"
"714","veterans_home",3,714,1,"all"
"715","village_stem",3,715,3,"all"
"716","stem_enrichment",3,716,3,"all"
"717","enrichment_foundation",3,717,3,"all"
"718","benefit_science",3,718,3,"all"
"719","stem_activities",3,719,3,"all"
"720","village_community",3,720,3,"all"
"721","flagship_program",3,721,3,"all"
"722","science_olympiad",3,722,3,"all"
"723","university_city",3,723,1,"all"
"724","will_improve",3,724,3,"all"
"725","solar_power",3,725,1,"all"
"726","community_resources",3,726,3,"all"
"727","seminole_tribe",3,727,1,"all"
"728","social_media",3,728,3,"all"
"729","draft_horses",3,729,1,"all"
"730","school_support",3,730,3,"all"
"731","abandoned_animals",3,731,3,"all"
"732","educate_youth",3,732,3,"all"
"733","combat_veterans",3,733,3,"all"
